"richness","X","Y"
53,-663114.636600243,-984050.379530825
64,-662944.473277279,-982670.25269004
60,-664402.654042517,-982491.832149765
50,-666031.608455226,-983693.332820459
54,-665860.75516967,-982313.293053532
57,-633448.282578197,-983434.072369664
48,-634906.287187799,-983259.772095079
40,-636528.804639456,-984466.115104388
39,-636364.190474347,-983085.237086769
34,-637822.093069442,-982910.57450595
31,-639445.227847257,-984116.617155595
39,-639279.967755915,-982735.802110468
41,-640737.907230493,-982560.773207832
46,-642361.552261545,-983766.22639257
38,-642195.68518466,-982385.49908221
38,-643653.552152048,-982209.971724717
29,-645277.763917418,-983414.838412088
36,-645111.310448751,-982034.21463443
30,-646569.070527687,-981858.329911894
44,-648193.940201598,-983062.905760139
36,-648026.777858615,-981682.325598898
30,-649484.500682774,-981506.064582232
51,-651109.842089603,-982710.105794311
39,-650942.098172359,-981329.581756211
40,-652399.800271439,-981152.833399228
44,-654025.686183946,-982356.243917545
38,-653857.36602377,-980975.863182891
37,-655314.984396231,-980798.763075789
38,-656941.52953384,-982001.820507551
41,-656772.561140719,-980621.551405282
56,-658230.138575722,-980444.094825709
59,-659857.15391538,-981646.571829679
54,-659687.605035785,-980266.378209294
52,-661145.100033935,-980088.422604902
60,-662772.667610204,-981290.33733503
48,-662602.473996919,-979910.212897972
43,-664059.886165414,-979731.878081696
54,-665688.107284081,-980933.481192579
44,-665517.254010206,-979553.439468447
59,-666974.710722028,-979374.743002839
47,-636200.554733743,-981704.214945789
45,-647859.561076402,-980301.773114702
46,-647692.435178334,-978921.179289162
30,-649149.420794982,-978744.917856991
37,-650773.942942457,-979949.154555428
31,-650606.209627718,-978568.323830292
23,-652063.069475737,-978391.701407785
30,-653688.290437252,-979595.551336905
30,-653519.938392281,-978215.054952516
32,-654976.884908978,-978038.033948435
43,-656602.641582754,-979241.361791358
28,-656433.625653968,-977860.655571411
31,-657890.370911296,-977683.154889087
37,-659516.751510487,-978886.309478503
32,-659347.089484164,-977505.547450799
46,-660803.784141778,-977327.82588456
45,-662430.668271496,-978530.253303788
50,-662260.455025671,-977149.995124226
51,-665344.609259256,-978173.594265333
53,-665173.768223391,-976793.199561016
69,-636871.12033667,-999831.473466162
61,-638498.354712707,-1001037.45405085
73,-638333.654880771,-999656.58463546
68,-639796.226311069,-999481.328275029
68,-641423.792161357,-1000686.45638647
62,-641258.603123552,-999305.722015811
64,-642721.066768698,-999129.960112321
63,-644349.333791969,-1000334.55700884
55,-644183.491095023,-998954.074587401
52,-645645.947571134,-998777.942116715
48,-647274.734476914,-999982.155189143
45,-647108.258057533,-998601.604482226
57,-648570.601377557,-998425.116613499
55,-650199.93104029,-999628.891604678
51,-650032.833377265,-998248.497195702
69,-651495.12836669,-998071.640937291
60,-653125.13452068,-999274.935647309
55,-652957.366685157,-997894.569340852
56,-630696.39791167,-997767.489108511
42,-632321.564328358,-998974.217931422
32,-656263.575194889,-976480.294151996
53,-656094.66369633,-975099.974673794
33,-657550.644880464,-974922.581677637
29,-659176.197355546,-976125.279194171
37,-659006.611286549,-974745.074217572
34,-660462.547536726,-974567.437516126
47,-662088.742312309,-975769.820700633
29,-661918.483018361,-974389.661756152
45,-663374.453577277,-974211.522597433
47,-665001.015498995,-975413.14226666
29,-658835.751176633,-973364.792897967
41,-661746.739374582,-973009.489873338
74,-637035.461178788,-1001212.21746632
67,-639961.009152521,-1000862.21871809
66,-642886.534420041,-1000510.56654791
46,-645812.048984543,-1000158.41425486
46,-648737.324006354,-999805.651681941
70,-651662.474100608,-999451.990906258
45,-630859.369949427,-999148.552393747
60,-633783.708385323,-998799.743974903
72,-636707.935766412,-998450.405449006
68,-639632.030036757,-998100.385032545
58,-642556.005218118,-997749.143813022
52,-645479.946990821,-997397.248528346
62,-648403.760717195,-997044.538438804
62,-651327.375957573,-996691.190342605
44,-630534.915892139,-996386.229892547
54,-654250.928983927,-996336.894604653
41,-633457.762537069,-996037.584497273
59,-657174.437332492,-995981.697707866
56,-636380.455591891,-995688.516854838
