FID,nazev,diverzita,HnizdoZem,HnizdoKer,HnizdoStro,std,d00,d01,d02,REKULT,RN,PSRI,SLO,CUR,TWI,X,Y
23,A24,3,1,1,2,2.204,2.8,0.1,0.7,Forest,R,0.064196077,6.76,0.26,4.98,-778204.126051,-987594.021076
24,A25,11,7,3,1,1.262,2.9,1.2,2.1,Forest,R,0.056769118,4.67,0.18,4.87,-778092.560961,-987872.504883
25,A26,12,4,7,3,2.542,7.4,9.3,43.5,None,N,0.03930615,9.26,-0.17,4.47,-778371.044768,-987984.069972
26,A27,16,4,8,8,4.547,5,5.2,52.8,None,N,0.014842219,8.89,0.09,4.37,-778649.528575,-988095.635062
27,A28,12,4,6,3,2.244,7.8,8.5,23.7,None,N,0.027797389,10.62,0.08,4.2,-778928.012382,-988207.200151
28,A29,7,2,5,1,1.449,27.9,2.9,2.5,None,N,0.006325454,6.84,0.07,4.57,-779039.577472,-987928.716344
29,A30,8,2,4,3,2.481,27.4,2.8,9.5,None,N,0.010876724,6.09,0.01,4.82,-779318.061279,-988040.281434
30,B01,11,4,5,3,1.676,36.5,3.8,2.3,None,N,0.041767342,5.98,-0.07,5.47,-778704.882203,-988764.167765
31,B02,13,2,7,6,1.776,13.2,12.1,38.3,None,N,0.018712757,10.02,0.03,4.36,-778816.447293,-988485.683958
32,B03,11,1,6,5,5.599,3.8,6.5,79.7,None,N,0.017488558,10.93,0.26,3.92,-778537.963486,-988374.118869
33,B04,12,3,6,4,8.199,4.5,7.6,51.4,None,N,0.051811656,5.38,-0.01,4.8,-778259.479679,-988262.553779
34,B05,8,4,3,2,1.721,5.9,17.6,31.8,Forest,R,0.084819401,8.71,0.02,4.59,-777980.995872,-988150.988690
35,B06,5,3,1,1,0,3.1,0,0,Forest,R,0.054108927,2.22,0.01,5.53,-777702.512065,-988039.423600
36,B07,10,6,4,1,2.275,6.2,5,11.4,Forest,R,0.090268007,2.75,0.02,5.23,-777424.028258,-987927.858511
37,B08,11,9,1,1,1.758,13.7,5.4,26.8,Sukcess,R,0.130916213,9.03,0.01,3.82,-777145.544450,-987816.293421
38,B09,14,9,4,1,1.665,14.9,7.8,14.3,Sukcess,R,0.105705704,8.44,-0.05,4.28,-777033.979361,-988094.777228
39,B10,12,10,2,0,2.867,15.6,0.7,0.5,Sukcess,R,0.132535853,8.45,-0.06,4.06,-776755.495554,-987983.212139
40,B11,2,2,0,0,2.002,2.1,0.1,0.3,Other,R,0.05008799,2.49,0.11,5.48,-776477.011747,-987871.647049
41,B12,3,3,0,0,1.607,0.7,0.1,0,Other,R,0.063805109,4.94,0.07,5.08,-776365.446657,-988150.130857
42,B13,4,4,0,0,1.775,1.2,0,0,Other,R,0.063470729,6.42,0.01,4.83,-776643.930464,-988261.695946
43,B14,4,2,1,1,2.073,24.9,1.4,4.1,Agri,R,0.067751378,2.97,0.05,5.22,-776922.414271,-988373.261035
44,B15,10,1,3,6,4.163,4.2,1.1,6.1,Other,R,0.049509749,5.14,0.06,4.84,-776810.849182,-988651.744843
45,B16,14,4,6,6,3.149,6.2,5.7,21.5,None,N,0.018140386,5.93,0,4.68,-776699.284092,-988930.228650
46,B17,15,4,6,6,3.922,5.9,3.4,8.3,None,N,0.043213803,5.17,0.03,4.88,-776587.719003,-989208.712457
47,B18,17,3,6,9,8.52,12.5,7.7,22.3,None,N,0.05194683,5.08,-0.03,4.92,-776866.202810,-989320.277546
48,B19,14,2,8,6,5.571,7.6,3.2,29.1,None,N,0.050306305,6.55,-0.05,4.77,-777144.686617,-989431.842636
49,B20,14,4,8,5,5.233,4.7,3.7,33.5,None,N,0.025542091,7.31,0.08,4.41,-777256.251707,-989153.358829
50,B21,12,4,4,4,3.313,11.4,6,9.1,None,N,0.049729122,5.79,0.02,4.65,-776977.767900,-989041.793739
